Column,Type
Title,Title
Date,Date
Tags,Multi-select
Subject/Project,Select
Priority,Select
Status,Select
Author/Source,Text
Attachments,Files & Media
Image Preview,Files & Media
Audio Notes,Files & Media
Video Clips,Files & Media
External Media Link,URL
Summary,Text
Related Notes,Relation
